date,rank,ticker,company,close,market_cap_bn
2016-01-04,1,GOOGL,Alphabet Inc. (Class A),37.97200012207031,464.395086895644
2016-01-04,2,GOOG,Alphabet Inc. (Class C),37.09199905395508,453.63273118138426
2016-01-04,3,MSFT,Microsoft,54.79999923706055,406.9198872415584
2016-01-04,4,AAPL,Apple Inc.,26.337499618530273,384.37421018276217
2016-01-04,5,AMZN,Amazon,31.84950065612793,343.5387011886156
2016-01-04,6,XOM,ExxonMobil,77.45999908447266,318.50869665703215
2016-01-04,7,BRK-B,Berkshire Hathaway,130.75,279.8978055655
2016-01-04,8,META,Meta Platforms,102.22000122070312,260.4060894292488
2016-01-04,9,JNJ,Johnson & Johnson,100.4800033569336,242.14661911642958
2016-01-04,10,VZ,Verizon,45.869998931884766,190.5795340779613
2016-01-05,1,GOOGL,Alphabet Inc. (Class A),38.076499938964844,465.67311284611554
2016-01-05,2,GOOG,Alphabet Inc. (Class C),37.12900161743164,454.0852701212825
2016-01-05,3,MSFT,Microsoft,55.04999923706055,408.7762736143084
2016-01-05,4,AAPL,Apple Inc.,25.677499771118164,374.74205360965726
2016-01-05,5,AMZN,Amazon,31.68950080871582,341.8128926629564
2016-01-05,6,XOM,ExxonMobil,78.12000274658203,321.22257360890353
2016-01-05,7,BRK-B,Berkshire Hathaway,131.25,280.9681604625
2016-01-05,8,META,Meta Platforms,102.7300033569336,261.7053230460592
2016-01-05,9,JNJ,Johnson & Johnson,100.9000015258789,243.15877211451343
2016-01-05,10,VZ,Verizon,46.5,193.197046893
2016-01-06,1,GOOGL,Alphabet Inc. (Class A),37.96649932861328,464.32781255014567
2016-01-06,2,GOOG,Alphabet Inc. (Class C),37.180999755859375,454.72120396558705
2016-01-06,3,MSFT,Microsoft,54.04999923706055,401.3507281233084
2016-01-06,4,AAPL,Apple Inc.,25.174999237060547,367.4084703655243
2016-01-06,5,AMZN,Amazon,31.63249969482422,341.1980607745684
2016-01-06,6,XOM,ExxonMobil,77.47000122070312,318.5498245606238
2016-01-06,7,BRK-B,Berkshire Hathaway,131.3300018310547,281.13942116577675
2016-01-06,8,META,Meta Platforms,102.97000122070312,262.3167190979988
2016-01-06,9,JNJ,Johnson & Johnson,100.38999938964844,241.92971868194465
2016-01-06,10,VZ,Verizon,45.52000045776367,189.12536909694515
2016-01-07,1,GOOGL,Alphabet Inc. (Class A),37.04999923706055,453.1190761578502
2016-01-07,2,GOOG,Alphabet Inc. (Class C),36.31949996948242,444.18511772127647
2016-01-07,3,MSFT,Microsoft,52.16999816894531,387.39069466889015
2016-01-07,4,AAPL,Apple Inc.,24.112499237060547,351.9021541155243
2016-01-07,5,AMZN,Amazon,30.39699935913086,327.8715667354685
2016-01-07,6,XOM,ExxonMobil,76.2300033569336,313.4510625142154
2016-01-07,7,BRK-B,Berkshire Hathaway,129.47999572753906,277.179094981021
2016-01-07,8,META,Meta Platforms,97.91999816894531,249.45180488737677
