date,AAPL,AMZN,AVGO,BA,BRK-B,CVX,GOOG,GOOGL,INTC,JNJ,JPM,LLY,META,MSFT,NVDA,PG,T,TSLA,UNH,V,VZ,WMT,XOM
2016-01-04,26.337499618530273,31.84950065612793,14.227999687194824,140.5,130.75,88.8499984741211,37.09199905395508,37.97200012207031,33.9900016784668,100.4800033569336,63.619998931884766,82.87000274658203,102.22000122070312,54.79999923706055,0.809249997138977,78.37000274658203,25.944108963012695,14.894000053405762,116.45999908447266,75.69999694824219,45.869998931884766,20.48666763305664,77.45999908447266
2016-01-05,25.677499771118164,31.68950080871582,13.751999855041504,141.07000732421875,131.25,89.61000061035156,37.12900161743164,38.076499938964844,33.83000183105469,100.9000015258789,63.72999954223633,84.11000061035156,102.7300033569336,55.04999923706055,0.8222500085830688,78.62000274658203,26.125377655029297,14.895333290100098,116.68000030517578,76.2699966430664,46.5,20.97333335876465,78.12000274658203
2016-01-06,25.174999237060547,31.63249969482422,13.329000473022461,138.8300018310547,131.3300018310547,86.06999969482422,37.180999755859375,37.96649932861328,33.08000183105469,100.38999938964844,62.810001373291016,83.58000183105469,102.97000122070312,54.04999923706055,0.7882500290870667,77.86000061035156,25.72507667541504,14.602666854858398,115.48999786376953,75.2699966430664,45.52000045776367,21.183332443237305,77.47000122070312
2016-01-07,24.112499237060547,30.39699935913086,12.904999732971191,133.00999450683594,129.47999572753906,83.0199966430664,36.31949996948242,37.04999923706055,31.84000015258789,99.22000122070312,60.27000045776367,81.41000366210938,97.91999816894531,52.16999816894531,0.7570000290870667,77.18000030517578,25.309667587280273,14.376667022705078,112.08999633789062,73.79000091552734,45.27000045776367,21.676666259765625,76.2300033569336
2016-01-08,24.239999771118164,30.352500915527344,12.819999694824219,129.99000549316406,128.3300018310547,82.12999725341797,35.7234992980957,36.545501708984375,31.510000228881836,98.16000366210938,58.91999816894531,81.25,97.33000183105469,52.33000183105469,0.7407500147819519,75.97000122070312,25.332326889038086,14.066666603088379,110.16000366210938,72.87999725341797,44.83000183105469,21.18000030517578,74.69000244140625
2016-01-11,24.63249969482422,30.886999130249023,12.803999900817871,130.2100067138672,128.36000061035156,80.7699966430664,35.80149841308594,36.653499603271484,32.060001373291016,97.56999969482422,58.83000183105469,80.2699966430664,97.51000213623047,52.29999923706055,0.7419999837875366,76.66999816894531,25.64199447631836,13.856666564941406,109.58000183105469,73.91999816894531,45.09000015258789,21.406667709350586,73.69000244140625
2016-01-12,24.989999771118164,30.894500732421875,12.991999626159668,131.9199981689453,128.8000030517578,82.1500015258789,36.30350112915039,37.266998291015625,32.68000030517578,98.23999786376953,58.959999084472656,80.4000015258789,99.37000274658203,52.779998779296875,0.7544999718666077,76.51000213623047,25.604230880737305,13.998000144958496,112.26000213623047,74.76000213623047,44.93000030517578,21.206666946411133,75.19999694824219
2016-01-13,24.34749984741211,29.090499877929688,12.331000328063965,128.1199951171875,126.25,81.33000183105469,35.02799987792969,35.97850036621094,31.90999984741211,97.0199966430664,57.34000015258789,79.30000305175781,95.44000244140625,51.63999938964844,0.7315000295639038,75.8499984741211,25.483383178710938,13.354000091552734,109.2300033569336,73.0999984741211,44.150001525878906,20.639999389648438,75.6500015258789
2016-01-14,24.8799991607666,29.649999618530273,12.519000053405762,129.1999969482422,128.07000732421875,85.47000122070312,35.736000061035156,36.56949996948242,32.7400016784668,98.88999938964844,58.20000076293945,82.54000091552734,98.37000274658203,53.11000061035156,0.7167500257492065,76.1500015258789,25.906343460083008,13.745332717895508,110.76000213623047,73.80000305175781,44.869998931884766,21.020000457763672,79.12000274658203
2016-01-15,24.282499313354492,28.509000778198242,11.996999740600586,125.62999725341797,126.13999938964844,83.66999816894531,34.72249984741211,35.52450180053711,29.760000228881836,97.0,57.040000915527344,81.23999786376953,94.97000122070312,50.9900016784668,0.6777499914169312,74.9800033569336,25.672204971313477,13.666000366210938,109.2699966430664,71.83000183105469,44.43000030517578,20.643333435058594,77.58000183105469
